codigo_ine,nombre,provincia,ccaa,poblacion,superficie_km2,lat_centro,lon_centro,n_alojamientos_osm,n_vut_oficial,plazas_vut,n_vut_con_plazas,pct_vut_con_plazas,n_vut_geolocalizadas,pct_vut_geolocalizadas,plazas_hoteleras,n_establecimientos_hoteleros,origen_hotelero,n_restauracion,n_atracciones,n_camping,n_transporte,origen_osm,origen_vut,cobertura_vut,saturacion_plazas_1000hab,densidad_plazas_km2,plazas_totales,saturacion_total_1000hab,pct_plazas_hoteleras,n_servicios,densidad_servicios_km2,servicios_1000hab,dist_transporte_km,atracciones_1000hab,indice_demanda,indice_saturacion,indice_oportunidad,indice_riesgo
01014,Berantevilla,Araba/Álava,País Vasco,461,35.9824,42.6870864747124,-2.833562982462999,0,0.0,0.0,0.0,,0.0,,,,sin_dato,3,0,0,0,join_espacial,municipal_directo,registro,0.0,0.0,,,,3,0.083,6.51,6.78,0.0,52.5,4.1,48.4,21.0
01016,Bernedo,Araba/Álava,País Vasco,541,130.7699,42.693978310821485,-2.523626672804104,2,1.0,8.0,1.0,100.0,1.0,100.0,,,sin_dato,3,14,0,0,join_espacial,municipal_directo,registro,14.79,0.061,,,,17,0.13,31.42,13.04,25.88,78.4,26.3,52.1,44.5
01017,Campezo/Kanpezu,Araba/Álava,País Vasco,1073,85.1187,42.68691406111505,-2.3607384398476383,1,6.0,29.0,6.0,100.0,5.0,83.3,,,sin_dato,12,5,1,0,join_espacial,municipal_directo,registro,27.03,0.341,,,,17,0.2,15.84,17.87,4.66,70.6,40.5,30.1,51.0
01018,Zigoitia,Araba/Álava,País Vasco,1845,101.9692,42.96875171992578,-2.7307250028217585,1,1.0,8.0,1.0,100.0,1.0,100.0,,,sin_dato,8,0,1,0,join_espacial,municipal_directo,registro,4.34,0.078,,,,8,0.078,4.34,9.52,0.0,46.3,15.9,30.4,26.5
01019,Kripan,Araba/Álava,País Vasco,174,12.454,42.59480732983347,-2.514263121132107,0,0.0,0.0,0.0,,0.0,,,,sin_dato,0,0,0,0,join_espacial,municipal_directo,registro,0.0,0.0,,,,0,0.0,0.0,16.03,0.0,15.8,4.1,11.7,8.2
01020,Kuartango,Araba/Álava,País Vasco,402,84.0513,42.89558673882511,-2.935361044332513,1,3.0,22.0,3.0,100.0,1.0,33.3,,,sin_dato,3,1,1,0,join_espacial,municipal_directo,registro,54.73,0.262,,,,4,0.048,9.95,10.92,2.49,63.0,48.1,14.9,53.3
01021,Elburgo/Burgelu,Araba/Álava,País Vasco,642,31.3417,42.864511792662256,-2.5471344097695683,1,0.0,0.0,0.0,,0.0,,,,sin_dato,1,1,1,0,join_espacial,municipal_directo,registro,0.0,0.0,,,,2,0.064,3.12,3.16,1.56,59.5,4.1,55.4,23.5
01022,Elciego,Araba/Álava,País Vasco,971,16.2769,42.507167075526944,-2.624814526580877,7,7.0,46.0,7.0,100.0,7.0,100.0,,,sin_dato,10,4,1,0,join_espacial,municipal_directo,registro,47.37,2.826,,,,14,0.86,14.42,11.35,4.12,76.7,63.8,12.9,68.3
01023,Elvillar/Bilar,Araba/Álava,País Vasco,315,17.4473,42.56187292502783,-2.5404762401480254,0,2.0,14.0,2.0,100.0,2.0,100.0,,,sin_dato,0,0,0,0,join_espacial,municipal_directo,registro,44.44,0.802,,,,0,0.0,0.0,13.78,0.0,17.0,53.5,-36.5,40.7
01027,Iruraiz-Gauna,Araba/Álava,País Vasco,559,46.8477,42.82285329927094,-2.4755506102003286,0,1.0,8.0,1.0,100.0,1.0,100.0,,,sin_dato,1,1,0,0,join_espacial,municipal_directo,registro,14.31,0.171,,,,2,0.043,3.58,4.32,1.79,58.4,28.5,29.9,39.0
01028,Labastida/Bastida,Araba/Álava,País Vasco,1558,38.3302,42.60557352117453,-2.8088532836558566,2,6.0,34.0,6.0,100.0,4.0,66.7,,,sin_dato,23,2,1,0,join_espacial,municipal_directo,registro,21.82,0.887,,,,25,0.652,16.05,4.1,1.28,79.8,45.3,34.5,57.4
